"","x"
"13815","Antes Shale formation"
"13816","Coburn formation"
"13817","Antes formation"
"13818","Corliss Conglomerate formation"
"13819","Harding Sandstone formation"
"13820","Beauceville formation"
"13821","Arnold River formation"
"13822","Galets formation"
"13823","Cape Discovery formation"
"13824","Verulam formation"
"13825","Bucke formation"
"13826","Montreal formation"
"13827","Shadow Lake formation"
"13828","Kirkfield formation"
"13829","Eggleston Limestone formation"
"13830","Corbin Ranch formation"
"13831","Eureka Quartzite formation"
"13832","Active formation"
"13833","Nealmont Limestone formation"
"13834","Valmy formation"
"13835","Long Point formation"
"13836","Naranjal formation"
"13837","Salona formation"
"13838","Black River Limestone formation"
"13839","Tremblay formation"
"13840","Bobcaygeon formation"
"13841","Deschambault formation"
"13842","Chambersburg formation"
"13843","Moccasin formation"
"13844","Tulip Creek formation"
"13845","Hershey formation"
"13846","Jacksonburg formation"
"13847","Glens Falls Limestone formation"
"13848","Morses Line Slate formation"
"13849","Guigues formation"
"13850","Mile End formation"
"13851","Nealmont formation"
"13852","Guttenberg formation"
"13853","Kings Lake formation"
"13854","Myerstown formation"
"13855","Rodman formation"
"13856","Skoki formation"
"13857","Roughlock formation"
"13858","Bluffer Pond formation"
"13859","Rockland formation"
"13860","Ouareau formation"
"13861","Pont Rouge formation"
"13862","Coboconk formation"
"13863","Gull Island formation"
"13864","Gull River formation"
"13865","Linden Hall formation"
"13866","Esbataottine formation"
"13867","Kimmswick Limestone formation"
"13868","Broadview formation"
"13869","Benner formation"
"13870","Mystic formation"
"13871","Shoal Arm formation"
"13872","Colvin Mountain Sandstone formation"
"13873","Athens Shale formation"
"13874","Carters Limestone formation"
"13875","Bays formation"
"13876","Tyrone Limestone formation"
"13877","Collierstown Limestone formation"
"13878","Black River formation"
"13879","Cable Canyon Sandstone formation"
"13880","Platteville formation"
"13881","Platteville Limestone formation"
"13882","Plattin formation"
"13883","Kinnikinic Quartzite formation"
"13884","Icebox formation"
"13885","Orwell Limestone formation"
"13886","Bony Falls formation"
"13887","Quimbys Mill formation"
"13888","Plattin Limestone formation"
"13889","Comus formation"
"13890","Beaver Bight formation"
"13891","Liberty Hall formation"
"13892","Leray formation"
"13893","Witten formation"
"13894","Hardy Creek Limestone formation"
"13895","Pencil Cave Bentonite formation"
"13896","Nachusa formation"
"13897","Lebanon Limestone formation"
"13898","Jewell Bluff formation"
"13899","Moccasin Limestone formation"
"13900","Rockmart Slate formation"
"13901","Luther formation"
"13902","Sevier Shale formation"
"13903","Chota formation"
"13904","Ottosee Shale formation"
"13905","Ben Hur Limestone formation"
"13906","Fite formation"
"13907","Chatham Hill formation"
"13908","Fincastle Conglomerate formation"
"13909","Womble Shale formation"
"13910","Oregon formation"
"13911","Ridley Limestone formation"
"13912","Lowville Limestone formation"
"13913","Joachim Dolomite formation"
"13914","Grand Detour formation"
"13915","Camp Nelson Limestone formation"
"13916","Greensport formation"
"13917","Woodway Limestone formation"
"13918","Knobs formation"
"13919","Wassum Limestone formation"
"13920","McLish formation"
"13921","Snyder formation"
"13922","Pecatonica formation"
"13923","Paperville Shale formation"
"13924","Chapman Ridge Sandstone formation"
"13925","Wassum formation"
"13926","Mifflin formation"
"13927","Wardell formation"
"13928","Gratton Limestone formation"
"13929","St Peter Sandstone formation"
"13930","Tyner formation"
"13931","Black Island formation"
"13932","Glenwood formation"
"13933","Lowville formation"
"13934","Hurricane Bridge Limestone formation"
"13935","Lonesome Pine formation"
"13936","Benbolt Limestone formation"
"13937","Pierce Limestone formation"
"13938","Tellico formation"
"13939","Martin Creek Limestone formation"
"13940","Hatter formation"
"13941","Rich Valley Shale formation"
"13942","Peery Limestone formation"
"13943","Pamelia formation"
"13944","Rich Valley formation"
"13945","Lincolnshire Limestone formation"
"13946","Effna Limestone formation"
"13947","Ward Cove Limestone formation"
"13948","Chazy formation"
"13949","Wells Creek formation"
"13950","Loysburg formation"
"13951","Middlebury Limestone formation"
"13952","Mount Rawlinson formation"
"13953","Gonioceras Bay formation"
"13954","Owen Creek formation"
"13955","Glenogle formation"
"13956","Elway Limestone formation"
"13957","Lenoir Limestone formation"
"13958","Rob Camp Limestone formation"
"13959","Rye Cove Limestone formation"
"13960","Murfreesboro Limestone formation"
"13961","Poteet Limestone formation"
"13962","Five Oaks Limestone formation"
"13963","Dot Limestone formation"
"13964","Pond Spring formation"
"13965","Wells Creek Dolomite formation"
"13966","St Paul Limestone formation"
"13967","Murat Limestone formation"
"13968","New Market Limestone formation"
"13969","Dutchtown Limestone formation"
"13970","Dutchtown formation"
"13971","Crystal Peak Dolomite formation"
"13972","Swan Peak Quartzite formation"
"13973","Cape Rosier formation"
"13974","Mainland formation"
"13975","Goose Tickle formation"
"13976","Blackford formation"
"13977","Northwest Arm formation"
"13978","Rockcliffe formation"
"13979","Laval formation"
"13980","Cape Cormorant formation"
"13981","Duo formation"
"13982","Newala Limestone formation"
"13983","Chase Lake formation"
"13984","Pinesburg Station formation"
"13985","Oil Creek formation"
"13986","Everton formation"
"13987","Dot formation"
"13988","Burgen Sandstone formation"
"13989","Row Park Limestone formation"
"13990","Bellefonte formation"
"13991","Annville formation"
"13992","Mosheim Limestone formation"
"13993","Bay Fiord formation"
"13994","Maskell Inlet formation"
"13995","Baie Verte formation"
"13996","Englee formation"
"13997","Wild Bight formation"
"13998","Bulleys Lump formation"
"13999","Cape Webster formation"
"14000","Wandel Valley formation"
"14001","Sjaelland Fjelde formation"
"14002","Table Cove formation"
"14003","Brompton formation"
"14004","Caldwell formation"
"14005","Bide Arm formation"
"14006","Blow-me Down Brook formation"
"14007","Ascot formation"
"14008","Monkman formation"
"14009","Ontelaunee formation"
"14010","Pinesburg Station Dolomite formation"
"14011","Rockdale Run formation"
"14012","Kanosh Shale formation"
"14013","Joins formation"
"14014","Blakely Sandstone formation"
"14015","Scarboro formation"
"14016","North Haven Greenstone formation"
"14017","Chokecherry formation"
"14018","Lehman formation"
"14019","Table Head formation"
"14020","Ship Point formation"
"14021","Maquereau formation"
"14022","Beekmantown formation"
"14023","Fort Pena formation"
"14024","Grove formation"
"14025","Chipman formation"
"14026","Diamond Island formation"
"14027","Pogonip Limestone formation"
"14028","Index formation"
"14029","Eleanor River formation"
"14030","Tipperary formation"
"14031","Juab Limestone formation"
"14032","Epler formation"
"14033","Stockbridge formation"
"14034","Ellenburger Dolomite formation"
"14035","Axemann formation"
"14036","Monson Gneiss formation"
"14037","Dead River formation"
"14038","Newala Dolomite formation"
"14039","Fillmore formation"
"14040","Poultney formation"
"14041","Alsate Shale formation"
"14042","Cotter Dolomite formation"
"14043","West Spring Creek formation"
"14044","Mazarn Shale formation"
"14045","Shakopee formation"
"14046","Summerhouse formation"
"14047","Sykesville formation"
"14048","Copake formation"
"14049","Jones Ridge Limestone formation"
"14050","Shakopee Dolomite formation"
"14051","Knox Dolomite formation"
"14052","Wah Wah Limestone formation"
"14053","Bonneterre formation"
"14054","Manitou Limestone formation"
"14055","Manitou Dolomite formation"
"14056","Suspension Bridge formation"
"14057","Halifax formation"
"14058","Beldens formation"
"14059","Aquathuna formation"
"14060","Beekmantown Dolomite formation"
"14061","Mascot Dolomite formation"
"14062","Jonesboro Limestone formation"
"14063","Powell Dolomite formation"
"14064","El Paso formation"
"14065","Nittany Dolomite formation"
"14066","Conococheague formation"
"14067","Popes Head formation"
"14068","Bascom formation"
"14069","Cape Elizabeth formation"
"14070","Cookson formation"
"14071","Jefferson City Dolomite formation"
"14072","Chimney Arm formation"
"14073","McLeod Brook formation"
"14074","Sicamous formation"
"14075","Baumann Fiord formation"
"14076","Nunatami formation"
"14077","Steensby Gletscher formation"
"14078","Mt. April formation"
"14079","Survey Peak formation"
"14080","Broken Skull formation"
"14081","Kingsport formation"
"14082","Kingsport Dolomite formation"
"14083","Marathon Limestone formation"
"14084","Catoche formation"
"14085","Conestoga Limestone formation"
"14086","Larke formation"
"14087","Rickenbach formation"
"14088","Crystal Mountain Sandstone formation"
"14089","Stonehenge formation"
"14090","Cutting Dolomite formation"
"14091","Hurricane Mountain formation"
"14092","Roubidoux formation"
"14093","Doucers formation"
"14094","Franklin Mountain formation"
"14095","Canrobert formation"
"14096","Canyon Elv formation"
"14097","Beauharnois formation"
"14098","Deadwood formation"
"14099","Rabbitkettle formation"
"14100","Longview Dolomite formation"
"14101","Bliss formation"
"14102","Oneota Dolomite formation"
"14103","Oneota formation"
"14104","Arm Point formation"
"14105","Green Point formation"
"14106","Blanley Bay formation"
"14107","Nygard Bay formation"
"14108","Warming Land formation"
"14109","Boat Harbour formation"
"14110","Navy Island formation"
"14111","Cool Creek formation"
"14112","Copper Ridge Dolomite formation"
"14113","Victorio Hills formation"
"14114","Gasconade Dolomite formation"
"14115","New Richmond Sandstone formation"
"14116","Cape Clay formation"
"14117","Ninnis Glacier formation"
"14118","Poulsen Cliff formation"
"14119","Maiden Point formation"
"14120","Goose Cove formation"
"14121","Christian Elv formation"
"14122","Chepultepec Dolomite formation"
"14123","Stonehenge Limestone formation"
"14124","Collier Shale formation"
"14125","Stoufferstown formation"
"14126","Tribes Hill formation"
"14127","Shelburn Marble formation"
"14128","Halcyon Lake formation"
"14129","Jim Pond formation"
"14130","House Limestone formation"
"14131","Clarenville formation"
"14132","Crooks Brook formation"
"14133","Potsdam formation"
"14134","Nepean formation"
"14135","Turner Cliffs formation"
"14136","Johansen Land formation"
"14137","Watts Bight formation"
"14138","Van Buren formation"
"14139","Cass Fiord formation"
"14140","Copes Bay formation"
"14141","Rose Run Sandstone formation"
"14142","Dagger Flat formation"
"14143","Sierrite formation"
"14144","Umbrella Hill formation"
"14145","Eminence Dolomite formation"
"14146","Butterly Dolomite formation"
"14147","Emerson formation"
"14148","Elbrook Dolomite formation"
"14149","Gunter Sandstone formation"
"14150","Hyndman formation"
"14151","Notch Peak formation"
"14152","Nopah formation"
"14153","St Charles Limestone formation"
"14154","Dome Creek formation"
"14155","Permin Land formation"
"14156","Theresa formation"
"14157","Jordan formation"
"14158","Copper Ridge formation"
"14159","Mines formation"
"14160","Hickory Sandstone formation"
"14161","Jordan Sandstone formation"
"14162","Eminence formation"
"14163","Signal Mountain formation"
"14164","Oro Grande formation"
"14165","Gatesburg formation"
"14166","Shadygrove formation"
"14167","Richland formation"
"14168","Allentown formation"
"14169","Little Falls formation"
"14170","Clarendon Springs Dolomite formation"
"14171","Trempealeau formation"
"14172","Tamarack Canyon Dolomite formation"
"14173","Porter Peak Limestone formation"
"14174","Mendha formation"
"14175","St Charles formation"
"14176","Lamotte Sandstone formation"
"14177","Buck Spring formation"
"14178","Gallatin formation"
"14179","Elliott Cove formation"
"14180","Ninemile Hill formation"
"14181","Salmonier Cove formation"
"14182","Macneil formation"
"14183","Goldenville formation"
"14184","March Point formation"
"14185","Lamartre Mazenod formation"
"14186","Chateauguay formation"
"14187","Petit Jardin formation"
"14188","Treytown Pond formation"
"14189","Lynx formation"
"14190","Taiga formation"
"14191","Zullinger formation"
"14192","Reagan Sandstone formation"
"14193","St Lawrence Dolomite formation"
"14194","Potosi Dolomite formation"
"14195","Royer Dolomite formation"
"14196","St Lawrence formation"
"14197","Au Train formation"
"14198","Briarcliff Dolostone formation"
"14199","Ajax Dolomite formation"
"14200","Ignacio Quartzite formation"
"14201","Lynch Dolomite formation"
"14202","Finnegan formation"
"14203","Nelway formation"
"14204","Maynardville Limestone formation"
"14205","Derby-Doerun Dolomite formation"
"14206","Millbach formation"
"14207","Red Lion formation"
"14208","Snowy Range formation"
"14209","Harmony formation"
"14210","Notch Peak Dolomite formation"
"14211","Muav formation"
"14212","Peerless formation"
"14213","Davis formation"
"14214","Lone Rock formation"
"14215","Franconia formation"
"14216","Derby formation"
"14217","Fort Sill Limestone formation"
"14218","Munising formation"
"14219","Elvins formation"
"14220","Windfall formation"
"14221","Orr formation"
"14222","Peerless Dolomite formation"
"14223","Lodore Sandstone formation"
"14224","Narrows formation"
"14225","Conasauga formation"
"14226","Kerbel formation"
"14227","Corset Spring Shale formation"
"14228","Ketona Dolomite formation"
"14229","Bibb Dolomite formation"
"14230","Maynardville formation"
"14231","Wilberns Sandstone formation"
"14232","Wonewoc formation"
"14233","Honey Creek formation"
"14234","Warrior formation"
"14235","Dry Creek Shale formation"
"14236","Ledger Dolomite formation"
"14237","Chase Brook formation"
"14238","Ironton Sandstone formation"
"14239","Lead Gulch formation"
"14240","Open formation"
"14241","Opex formation"
"14242","Sawatch Sandstone formation"
"14243","Pilgrim Limestone formation"
"14244","Johns Wash Limestone formation"
"14245","Olin Sandstone formation"
"14246","Abrigo formation"
"14247","Ironton formation"
"14248","Buffalo Springs formation"
"14249","Devils Glen Dolomite formation"
"14250","Danby formation"
"14251","Eau Claire formation"
"14252","Murphy Creek formation"
"14253","Ottertail formation"
"14254","Jubilee formation"
"14255","Chancellor formation"
"14256","Nolichucky formation"
"14257","Bonanza King formation"
"14258","Rome formation"
"14259","Silver Run Limestone formation"
"14260","Araby formation"
"14261","Galesville Sandstone formation"
"14262","Dunderberg Shale formation"
"14263","Worm Creek Quartzite formation"
"14264","Sawatch Quartzite formation"
"14265","Park Shale formation"
"14266","Gros Ventre formation"
"14267","Boothia Felix formation"
"14268","Black Shale Brook formation"
"14269","Gallery formation"
"14270","Laib formation"
"14271","Brierfield Dolomite formation"
"14272","Hasmark Dolomite formation"
"14273","Mount Simon Sandstone formation"
"14274","Mount Simon formation"
"14275","Switchback Shale formation"
"14276","Morgan Run Melange formation"
"14277","Winooski Dolomite formation"
"14278","Saxe Brook Dolomite formation"
"14279","Rockledge Conglomerate formation"
"14280","Hungerford Slate formation"
"14281","Paradise Valley Chert formation"
"14282","Highland Peak formation"
"14283","Nounan formation"
"14284","Muav Limestone formation"
"14285","Bright Angel Shale formation"
"14286","Agnostus Cove formation"
"14287","Sullivan formation"
"14288","Hicks formation"
"14289","Meagher Limestone formation"
"14290","Hamburg Dolomite formation"
"14291","Mill River Conglomerate formation"
"14292","Wah Wah Summit formation"
"14293","Lamb Dolomite formation"
"14294","Nolichucky Shale formation"
"14295","Shady Dolomite formation"
"14296","Maryville Limestone formation"
"14297","Honaker formation"
"14298","Honaker Dolomite formation"
"14299","Schaefferstown formation"
"14300","Snitz Creek formation"
"14301","Steamboat Limestone formation"
"14302","Pentagon Shale formation"
"14303","Pine Plains formation"
"14304","Nounan Limestone formation"
"14305","Cole Canyon Dolomite formation"
"14306","Death Canyon Limestone formation"
"14307","Flathead Sandstone formation"
"14308","Fortune Brook formation"
"14309","Fairman Point formation"
"14310","Eldon formation"
"14311","Waterfowl formation"
"14312","Parrish Glacier formation"
"14313","Bolsa Quartzite formation"
"14314","Potsdam Sandstone formation"
"14315","Leithsville formation"
"14316","Pagoda Limestone formation"
"14317","Richtex formation"
"14318","Milling Port formation"
"14319","Bennett formation"
"14320","Maclean Brook formation"
"14321","Corner-of-the-beach formation"
"14322","Saline River formation"
"14323","Telt Bugt formation"
"14324","Cloud Rapids formation"
"14325","Arctomys formation"
"14326","Slats Creek formation"
"14327","Hess River formation"
"14328","Rockslide formation"
"14329","Trippe Limestone formation"
"14330","Trippe formation"
"14331","Bluebird Dolomite formation"
"14332","Patterson Pass Shale formation"
"14333","Marjum formation"
"14334","Pierson Cove formation"
"14335","Pika formation"
"14336","Tapeats Sandstone formation"
"14337","Rugg Brook Dolomite formation"
"14338","Wheeler Shale formation"
"14339","Bloomington formation"
"14340","Herkimer Limestone formation"
"14341","Bowman Limestone formation"
"14342","Trout Brook formation"
"14343","Hastings Cove formation"
"14344","Manuels River formation"
"14345","Rogersville Shale formation"
"14346","Carrara formation"
"14347","Pleasant Hill formation"
"14348","Zooks Corners formation"
"14349","Dearborn Limestone formation"
"14350","Urbana Phyllite formation"
"14351","Dutch Island Harbor formation"
"14352","Cadiz formation"
"14353","Shwin formation"
"14354","Young Peak Dolomite formation"
"14355","Blacksmith formation"
"14356","Dagmar Dolomite formation"
"14357","Maxfield Limestone formation"
"14358","Monte Neva formation"
"14359","Swasey Limestone formation"
"14360","Eye-of-needle Limestone formation"
"14361","Windsor Mountain formation"
"14362","Cararra formation"
"14363","Fishtrap Dolomite formation"
"14364","Fort Burnside formation"
"14365","Eldorado Limestone formation"
"14366","Abercrombie formation"
"14367","Bancroft Limestone formation"
"14368","Ophir formation"
"14369","Weedon Schist formation"
"14370","Youngs Cove formation"
"14371","Irishtown formation"
"14372","Teutonic Limestone formation"
"14373","Rutledge Limestone formation"
"14374","Whirlwind Shale formation"
"14375","Porter Road formation"
"14376","Jumbo Dolomite formation"
"14377","Everona Limestone formation"
"14378","Brigham Quartzite formation"
"14379","Ophir Shale formation"
"14380","Fleur De Lys formation"
"14381","Chamberlains Brook formation"
"14382","Bear Point formation"
"14383","Cape Wood formation"
"14384","Earlie formation"
"14385","Titkana formation"
"14386","Whirlwind formation"
"14387","High Creek Limestone formation"
"14388","Damnation Limestone formation"
"14389","Mount Cap formation"
"14390","Scoresby Bay formation"
"14391","Stephen formation"
"14392","Elko formation"
"14393","Snake Indian formation"
"14394","Cathedral formation"
"14395","Chetang-Tatei formation"
"14396","Naiset formation"
"14397","Kelvin Glen formation"
"14398","Silver Hill formation"
"14399","Dome Limestone formation"
"14400","Gordon Shale formation"
"14401","Pumpkin Valley Shale formation"
"14402","Jamestown formation"
"14403","Chambless Limestone formation"
"14404","Mount Whyte formation"
"14405","Chisholm Shale formation"
"14406","Peasley Limestone formation"
"14407","Gold Creek Quartzite formation"
"14408","Reeves formation"
"14409","Gordon formation"
"14410","Gibson Jack formation"
"14411","Waynesboro formation"
"14412","Monkton Quartzite formation"
"14413","Stissing Dolostone formation"
"14414","Edgemont formation"
"14415","Tennessee Mountain formation"
"14416","Pioche Shale formation"
"14417","Tintic Quartzite formation"
"14418","Rosella formation"
"14419","Reno formation"
"14420","Howell Limestone formation"
"14421","Twin Knobs formation"
"14422","Lyndon Limestone formation"
"14423","Geertsen Canyon Quartzite formation"
"14424","Pioche formation"
"14425","Oak Hill formation"
"14426","Oella formation"
"14427","Funnel Creek Limestone formation"
"14428","Summerside formation"
"14429","Ledger formation"
"14430","Agricola Schist formation"
"14431","Dunham Dolomite formation"
"14432","Busby Quartzite formation"
"14433","Mutual formation"
"14434","Brigus formation"
"14435","Canoe Brook formation"
"14436","Cape Leiper formation"
"14437","Hawke Bay formation"
"14438","Hota formation"
"14439","Eager formation"
"14440","Illtyd formation"
"14441","Mount Clark formation"
"14442","Sekwi formation"
"14443","Old Fort Island formation"
"14444","Kane Basin formation"
"14445","Grant Land formation"
"14446","Cape Kent formation"
"14447","Kastrup Elv formation"
"14448","Gog formation"
"14449","Hardyston formation"
"14450","Wuluff River formation"
"14451","Tomstown formation"
"14452","Persimmon Fork formation"
"14453","Mule Spring Limestone formation"
"14454","Adams formation"
"14455","Donald formation"
"14456","Cape Ingersoll formation"
"14457","Helenmode formation"
"14458","Rabbit Point formation"
"14459","Tomstown Dolomite formation"
"14460","Antietam formation"
"14461","Kinzers formation"
"14462","Tillery formation"
"14463","Marburg Phyllite formation"
"14464","Megunticook formation"
"14465","Osgood Mountain Quartzite formation"
"14466","Cabin Shale formation"
"14467","Inkom formation"
"14468","Mahto formation"
"14469","Badshot formation"
"14470","Harkless formation"
"14471","Smith Point formation"
"14472","Boya formation"
"14473","Gull Lake formation"
"14474","Tshinakin formation"
"14475","Mural formation"
"14476","Dallas Bugt formation"
"14477","Cranbrook formation"
"14478","Vampire formation"
"14479","Weisner Quartzite formation"
"14480","Erwin formation"
"14481","Wash Creek Slate formation"
"14482","Brasstown formation"
"14483","Uwharrie formation"
"14484","Prospect Mountain Quartzite formation"
"14485","Rosaire formation"
"14486","Forteau formation"
"14487","Maccordrum formation"
"14488","Harpers formation"
"14489","Prettyboy Schist formation"
"14490","Poughquag Quartzite formation"
"14491","Grand Pitch formation"
"14492","Beaver Brook formation"
"14493","Bradore formation"
"14494","Three Sisters formation"
"14495","Ketza formation"
"14496","Devils Cove formation"
"14497","Cloud Mountain formation"
"14498","Rawlings Bay formation"
"14499","Humboldt formation"
"14500","Buen formation"
"14501","Ritter Bay formation"
"14502","Gilman formation"
"14503","Bonavista formation"
"14504","Stelkuz formation"
"14505","Narchilla formation"
"14506","Midas formation"
"14507","Backbone Ranges formation"
"14508","Ella Bay formation"
"14509","Archer Fiord formation"
"14510","Nesmith formation"
"14511","Portfjeld formation"
"14512","Aurland Fiord formation"
"14513","McNaughton formation"
"14514","Murray Shale formation"
"14515","Candler formation"
"14516","Kennedy Channel formation"
"14517","Weverton formation"
"14518","Cheshire Quartzite formation"
"14519","Unicoi formation"
"14520","Nebo Sandstone formation"
"14521","Nichols Shale formation"
"14522","Saddle Mountain formation"
"14523","Wilbert formation"
"14524","Yusezyu formation"
"14525","Covey Hill formation"
"14526","Ingta formation"
"14527","Loudown formation"
"14528","Hardyston Quartzite formation"
"14529","Yankee Belle formation"
"14530","Dalton formation"
"14531","Cochran Conglomerate formation"
"14532","Loudoun formation"
"14533","Chickies formation"
"14534","Pinnacle formation"
"14535","Sandsuck Shale formation"
"14536","Katakturuk Dolomite formation"
"14537","Cochran formation"
"14538","Cambridge Argillite formation"
"14539","Deep Spring formation"
"14540","Random formation"
"14541","Dantzig formation"
"14542","Morrison River formation"
"14543","Blue Pinion formation"
"14544","Sayunei formation"
"14545","Espee formation"
"14546","Bill Arp formation"
"14547","Cunningham formation"
"14548","Wilhite formation"
"14549","Tsaydiz formation"
"14550","Isaac formation"
"14551","Shields formation"
"14552","Hoosac formation"
"14553","Glen Falls formation"
"14554","Roxbury Conglomerate formation"
"14555","Coombs Limestone formation"
"14556","Licklog formation"
"14557","Anakeesta formation"
"14558","Catoctin formation"
"14559","Stirling Quartzite formation"
"14560","Frolona formation"
"14561","Sandsuck formation"
"14562","Cades Sandstone formation"
"14563","Rich Butt Sandstone formation"
"14564","Tyson formation"
"14565","Swannell formation"
"14566","Dean formation"
"14567","Sixtymile formation"
"14568","Risky formation"
"14569","Crown Hill formation"
"14570","Metcalf Phyllite formation"
"14571","Pigeon Siltstone formation"
"14572","Thunderhead Sandstone formation"
"14573","Swift Run formation"
"14574","Ogier Point formation"
"14575","Reed Dolomite formation"
"14576","Johnnie formation"
"14577","Brewer Phyllite formation"
"14578","White Brook formation"
"14579","Elkmont Sandstone formation"
"14580","Bateau formation"
"14581","Kilian formation"
"14582","Rencontre formation"
"14583","Roaring Fork Sandstone formation"
"14584","Prices Neck formation"
"14585","Noonday Dolomite formation"
"14586","Hothouse formation"
"14587","Caddy Canyon Quartzite formation"
"14588","Wyman formation"
"14589","Pinelog formation"
"14590","Hughes Gap formation"
"14591","Black Head formation"
"14592","Ratcliffe Brook formation"
"14593","Trinny Hill formation"
"14594","Longarm Quartzite formation"
"14595","Newport formation"
"14596","Horsethief Creek formation"
"14597","Rocky Harbour formation"
"14598","Swiftrun formation"
"14599","Wehutty formation"
"14600","Wading Branch formation"
"14601","Grande Le Pierre formation"
"14602","Cinq Isles formation"
"14603","Toby formation"
"14604","Neruokpuk formation"
"14605","Glenelg formation"
"14606","Strathcona Sound formation"
"14607","Yelverton formation"
"14608","Doten Cove formation"
"14609","Maturin Pond formation"
"14610","Stirling formation"
"14611","Shedroof Conglomerate formation"
"14612","Sawyer Limestone formation"
"14613","Papoose Creek formation"
"14614","Maidens Gneiss formation"
"14615","Signal Hill formation"
"14616","Wynniatt formation"
"14617","Big Head formation"
"14618","Gametrail formation"
"14619","Monk formation"
"14620","Sheepbed formation"
"14621","Waxahatchee Slate formation"
"14622","Love Cove formation"
"14623","Minto Inlet formation"
"14624","Belle Bay formation"
"14625","Lightning Gulch formation"
"14626","Bull Arm formation"
"14627","Blackrock Canyon Limestone formation"
"14628","Keele formation"
"14629","Copperhill formation"
"14630","Twitya formation"
"14631","Kwagnut formation"
"14632","Reynolds Point formation"
"14633","Mineral Fork Tillite formation"
"14634","Fyns So formation"
"14635","Kap Holbaek formation"
"14636","Mount Berg formation"
"14637","Shezal formation"
"14638","Kelly Canyon formation"
"14639","Pocatello formation"
"14640","Lynchburg formation"
"14641","Big Cottonwood formation"
"14642","Profeit formation"
"14643","Harbor Main formation"
"14644","Maple Canyon formation"
"14645","Mount Rogers formation"
"14646","Kwagunt formation"
"14647","Perry Canyon formation"
"14648","Campanaludal formation"
"14649","Galeros formation"
"14650","Canning formation"
"14651","Coppercap formation"
"14652","Grandfather Mountain formation"
"14653","Beck Spring Dolomite formation"
"14654","Red Pine Shale formation"
"14655","Elwin formation"
"14656","Ola formation"
"14657","Mechum River formation"
"14658","Deer Park Pond formation"
"14659","Martinon formation"
"14660","Victor Bay formation"
"14661","Nankoweap formation"
"14662","Van Horn Sandstone formation"
"14663","Jacobsville formation"
"14664","Southern Hills formation"
"14665","Ashburn formation"
"14666","Jacobsville Sandstone formation"
"14667","Society Cliffs formation"
"14668","Fond du Lac formation"
"14669","Tsezotene formation"
"14670","Arctic Bay formation"
"14671","Chequamegon Sandstone formation"
"14672","Tigonankweine formation"
"14673","Devils Island Sandstone formation"
"14674","Hinckley Sandstone formation"
"14675","Siamarnekh formation"
"14676","Solor Church formation"
"14677","Orienta Sandstone formation"
"14678","Freda Sandstone formation"
"14679","Hazel formation"
"14680","Nonesuch formation"
"14681","Lanoria Quartzite formation"
"14682","Allamoore formation"
"14683","Dox formation"
"14684","Shinumo Quartzite formation"
"14685","Rooseville formation"
"14686","Puckwange Sandstone formation"
"14687","Hakatai Shale formation"
"14688","Rensselaer Bay formation"
"14689","Mount Nelson formation"
"14690","Gataga formation"
"14691","Inviteq So formation"
"14692","Norsemandal formation"
"14693","Bass Limestone formation"
"14694","Bessemer Quartzite formation"
"14695","Hunting formation"
"14696","Castner Limestone formation"
"14697","Hotauta Conglomerate formation"
"14698","Swauger Quartzite formation"
"14699","Gateway formation"
"14700","Siemens Creek formation"
"14701","Briscoe formation"
"14702","Gunsight formation"
"14703","Husky Creek formation"
"14704","Apple Creek formation"
"14705","Adams Sound formation"
"14706","Nauyat formation"
"14707","Aida formation"
"14708","Phillips formation"
"14709","Tuchodi formation"
"14710","Sheppard formation"
"14711","Henry Creek formation"
"14712","Garnet Range formation"
"14713","Libby formation"
"14714","Carswell formation"
"14715","McNamara formation"
"14716","Bonner Quartzite formation"
"14717","Spokane formation"
"14718","Siyeh formation"
"14719","Striped Peak formation"
"14720","Mount Shields formation"
"14721","Shepard formation"
"14722","George formation"
"14723","Wallace formation"
"14724","Miller Peak formation"
"14725","Snowslip formation"
"14726","Helena Dolomite formation"
"14727","Greyson Shale formation"
"14728","St Regis formation"
"14729","La Hood formation"
"14730","Creston formation"
"14731","Grinnell formation"
"14732","Newland Limestone formation"
"14733","Appekunny formation"
"14734","Tetsa formation"
"14735","Chamberlain formation"
"14736","Altyn formation"
"14737","Van Creek formation"
"14738","Burke formation"
"14739","Revett formation"
"14740","Yellowjacket formation"
"14741","Prichard formation"
"14742","Aldridge formation"
"14743","Waterton formation"
"14744","Dake Quartzite formation"
"14745","Sims formation"
"14746","Kitchener formation"
"14747","Chischa formation"
"14748","Tombstone Mountain formation"
"14749","Haig Brook formation"
"14750","Cameron Bay formation"
"14751","Aston formation"
"14752","Freedom formation"
"14753","Fort Steele formation"
"14754","Kanuyak formation"
"14755","Parry Bay formation"
"14756","Preble formation"
"14757","Murky formation"
"14758","Tinney Cove formation"
"14759","Loaf formation"
"14760","Baldwin Conglomerate formation"
"14761","Sioux Quartzite formation"
"14762","Omarolluk formation"
"14763","Wabush Lake formation"
"14764","Chelmsford formation"
"14765","Albanel formation"
"14766","South Channel formation"
"14767","Vallecito Conglomerate formation"
"14768","Flaherty formation"
"14769","Kipalu formation"
"14770","Michigamme formation"
"14771","Temiscamie formation"
"14772","Hadley formation"
"14773","Rowatt formation"
"14774","Onwatin formation"
"14775","Cheno River formation"
"14776","Thompson Lake formation"
