"","x"
"310","Pine Salt mbr"
"311","Alibates Gypsum mbr"
"312","Day Creek Dolomite mbr"
"313","Ervay Limestone mbr"
"314","Moccasin Creek Dolomite mbr"
"315","Ikiakpaurak mbr"
"316","Rex Chert mbr"
"317","Franson mbr"
"318","Manzanita Limestone mbr"
"319","Joe Creek mbr"
"320","Meade Peak mbr"
"321","South Wells Limestone mbr"
"322","Getaway Limestone mbr"
"323","Owenyo Limestone mbr"
"324","Grandeur mbr"
"325","Joyita mbr"
"326","Tubbs Sandstone mbr"
"327","Canas mbr"
"328","Torres mbr"
"329","Meseta Blanca Sandstone mbr"
"330","Reward Conglomerate mbr"
"331","Cassa mbr"
"332","Halgaito mbr"
"333","Granger Mountain mbr"
"334","Wallsburg Ridge mbr"
"335","Ames Limestone mbr"
"336","Gallagher Peak Sandstone mbr"
"337","Merom Sandstone mbr"
"338","Millersville Limestone mbr"
"339","Shoal Creek Limestone mbr"
"340","Livingston Limestone mbr"
"341","Brush Creek Shale mbr"
"342","Cambridge Shale mbr"
"343","Chapel Coal mbr"
"344","Moberly Sandstone mbr"
"345","Carthage Limestone mbr"
"346","Bloom mbr"
"347","West Franklin Limestone mbr"
"348","Madisonville Limestone mbr"
"349","Lonsdale Limestone mbr"
"350","Piasa Limestone mbr"
"351","Farmington Shale mbr"
"352","Danville Coal mbr"
"353","Providence Limestone mbr"
"354","Coffman Conglomerate mbr"
"355","Brereton Limestone mbr"
"356","Springfield Coal mbr"
"357","Herrin Coal mbr"
"358","Ionia Sandstone mbr"
"359","Lowell Coal mbr"
"360","Survant Coal mbr"
"361","Colchester Coal mbr"
"362","Cheltenham Clay mbr"
"363","Browning Sandstone mbr"
"364","Seelyville Coal mbr"
"365","Isabel Sandstone mbr"
"366","Davis Coal mbr"
"367","Hailey mbr"
"368","Verne Limestone mbr"
"369","Curlew Limestone mbr"
"370","De Koven Coal mbr"
"371","Palzo Sandstone mbr"
"372","Greenbush Coal mbr"
"373","Wiley Coal mbr"
"374","Perth Limestone mbr"
"375","Seville Limestone mbr"
"376","Rock Island Coal mbr"
"377","Buffaloville Coal mbr"
"378","Sharp Mountain mbr"
"379","Litchfield Coal mbr"
"380","Minshall Coal mbr"
"381","Bear Canyon mbr"
"382","Murray Bluff Sandstone mbr"
"383","Stony Fork mbr"
"384","Alaska Bench Limestone mbr"
"385","Schuykill mbr"
"386","Magoffin mbr"
"387","Lower Block Coal mbr"
"388","Kendrick Shale mbr"
"389","Lead Creek Limestone mbr"
"390","Keyes Sandstone mbr"
"391","Bug Scuffle Limestone mbr"
"392","Corbin Sandstone mbr"
"393","Reynoldsburg Coal mbr"
"394","Tumbling Run mbr"
"395","Pounds Sandstone mbr"
"396","Dark Ridge mbr"
"397","Rockcastle Conglomerate mbr"
"398","Livingston Conglomerate mbr"
"399","Battery Rock Sandstone mbr"
"400","Naese Sandstone mbr"
"401","Needleseye Conglomerate mbr"
"402","Bee Rock Sandstone mbr"
"403","Rockcastle Sandstone mbr"
"404","Hensley mbr"
"405","Wayside mbr"
"406","Middlesboro mbr"
"407","White Rocks Sandstone mbr"
"408","Negli Creek Limestone mbr"
"409","Bramwell mbr"
"410","Chadwell mbr"
"411","Red mbr"
"412","Pride Shale mbr"
"413","Pinnacle Overlook mbr"
